,Unnamed: 0,datetime,id,tweet,sentiment
0,0,2021-04-28 08:54:22,1387329332541104131,rationaletienne erdayastronaut twisi starship literally pointy movie haha,positive
1,1,2021-04-28 08:51:43,1387328662073188353,riusjulien httpstcopatksqjnp,neutral
2,2,2021-04-28 08:43:37,1387326627160408067,httpstcojuluklymex,neutral
3,3,2021-04-28 07:33:33,1387308991743672322,astrojordy wapodavenport  far,positive
4,4,2021-04-28 06:21:41,1387290907108679680,muratpak,neutral
5,5,2021-04-28 06:20:47,1387290679794089986,dogefather snl may,neutral
6,6,2021-04-28 04:53:39,1387268753369583616,wapodavenport heart love till now forswear it sight neer saw true beauty till night,positive
7,7,2021-04-28 04:44:21,1387266412683702274,wapodavenport romeo  juliet fish tank scene,neutral
8,8,2021-04-28 03:25:43,1387246623340732421,erdayastronaut twisi testing header tanks good far,positive
9,9,2021-04-27 23:01:26,1387180114836967427,leastimalive thesheetztweetz important role play protecting public getting swindled httpstcodjsullijz,positive
10,10,2021-04-27 22:45:43,1387176157737541641,thesheetztweetz fcc fair amp sensible nhtsa amp faa too  time agree regulators rare occ httpstcowmxrjxhp,positive
11,11,2021-04-27 22:32:29,1387172830094233601,garyblack companies spend money advertising amp manipulating public opinion tesla focuses product trust people,neutral
12,12,2021-04-27 21:34:19,1387158189985173505,documentingbtc yes,neutral
13,13,2021-04-27 20:25:41,1387140919145766912,ppathole yup,neutral
14,14,2021-04-27 20:24:48,1387140695387951105,garyblack cgrantwsj wsj find helpful readfollow individual journalists rather publications httpstcozdrxtheydc,neutral
15,15,2021-04-27 00:37:20,1386841861323698177,kchangnyt httpstcoelvyonnzt,neutral
16,16,2021-04-27 00:15:00,1386836238771105793,starship sn static fire completed preparing flight later week,positive
17,17,2021-04-27 00:13:39,1386835900169129984,jeff_foust true,positive
18,18,2021-04-26 23:31:48,1386825367948644352,kchangnyt cant get to orbit lol,positive
19,19,2021-04-26 23:17:54,1386821871199571968,heydave seems quite likely least based revenue  amp possibly total units,negative
20,20,2021-04-26 23:15:01,1386821144037236737,stoolpresidente no not sold bitcoin tesla sold  holdings essentially p httpstcojmnjaboug,neutral
21,21,2021-04-26 22:56:18,1386816432655290381,jgrano orangetilt yes,neutral
22,22,2021-04-26 22:54:23,1386815954181632000,orangetilt yeah roughly mwkm using currently available solar panels whats really amazing ca httpstcoulbzulyq,positive
23,23,2021-04-26 19:11:05,1386759755088211974,ppathole advantage father talented electrical amp mechanical engineer taught httpstcodxuhbo,positive
24,24,2021-04-26 18:10:31,1386744515856322563,ppathole true opposite fact  provide financial support parents,positive
25,25,2021-04-26 18:06:44,1386743561585102853,rt space_station spacex crew astronauts soon soar back earth parachute splashdown coast florida they,neutral
26,26,2021-04-26 06:11:54,1386563667706011653,blkmdl johnnacrider got approval open new supercharger station malibu,positive
27,27,2021-04-26 06:08:53,1386562909833109505,johnnacrider httpstcoxlynnos,neutral
28,28,2021-04-25 19:41:31,1386405029523845125,badastronomer awesome,positive
29,29,2021-04-25 03:20:46,1386158212970340354,lets find live saturday night live really,positive
30,30,2021-04-25 03:09:25,1386155357739921412,hosting snl may,neutral
31,31,2021-04-25 02:40:29,1386148075434123264,tesmanian_com yup,neutral
32,32,2021-04-24 09:24:24,1385887339742998528,rt spacex docking confirmed  second time space_station dragon httpstcojlcwojrft,positive
33,33,2021-04-24 09:23:07,1385887015774867457,kuroikumanoashi lies beautiful,positive
34,34,2021-04-24 09:03:34,1385882094296092672,httpstcolbcwkwol,neutral
35,35,2021-04-24 08:55:19,1385880018417557506,define  beauty,neutral
36,36,2021-04-24 08:54:25,1385879790381641728,future hodl,neutral
37,37,2021-04-24 08:53:28,1385879551008559109,rt reallifestarman we need big permanently occupied base moon build city mars become spacefaring c,negative
38,38,2021-04-23 14:38:12,1385603921121533954,owensparks_ ppathole absolutely,positive
39,39,2021-04-23 14:23:41,1385600268620939265,ppathole essence philosophy,neutral
40,40,2021-04-23 14:18:06,1385598863399129090,sciguyspace important,positive
41,41,2021-04-23 14:06:58,1385596061922779140,lexfridman yup,neutral
42,42,2021-04-23 11:28:20,1385556138561875970,rt spacex dragon separated falcon s second stage way space_station autonomous docking tomorrow,positive
43,43,2021-04-23 09:47:18,1385530714662133763,mins launch httpstcoqnxkrrxpw,neutral
44,44,2021-04-23 08:13:41,1385507154531074048,astronauts preparing launch space_station httpstcowbkadzexec,neutral
45,45,2021-04-22 22:50:22,1385365390465937413,jirithunderdome yeah,neutral
46,46,2021-04-22 22:25:32,1385359141053546496,icannot_enough haha true,positive
47,47,2021-04-22 21:14:22,1385341229706190854,rt xprize elon musk peter diamandis live m xprize carbon removal httpstcomruxszxt,positive
48,48,2021-04-22 20:57:44,1385337043618836480,happy earth day,positive
49,49,2021-04-22 20:52:30,1385335728801001472,hnshah haha,positive
50,50,2021-04-22 20:50:53,1385335321370431488,jhall,neutral
51,51,2021-04-22 20:21:12,1385327849297612802,rt spacex systems weather looking good falcon s launch dragon four astronauts board webcast go live to,positive
52,52,2021-04-22 20:20:50,1385327759665270788,astrojordy im staying friends place florida  powered tesla solar roof  powerwall when httpstcoqtjecay,neutral
53,53,2021-04-22 12:31:35,1385209666909659140,delayslater seem little weird,negative
54,54,2021-04-22 06:05:53,1385112605014908933,owensparks_ astrojordy neuralink,neutral
55,55,2021-04-22 06:02:03,1385111636810240002,johnnacrider wholemarsblog tesla owners conspiracy theorists would fair call adver httpstcogadnggun,positive
56,56,2021-04-22 05:49:17,1385108424761872387,tesla solar  powerwall battery enables consumers utility,neutral
57,57,2021-04-22 05:47:06,1385107878055317509,jack true,positive
58,58,2021-04-22 05:39:40,1385106006141587459,valaafshar important people dont know this wind also super cheap especially paired batteries,positive
59,59,2021-04-22 05:38:03,1385105599608672257,annerajb newest units probably much kw continuous amp double peak power c ambient temp httpstcoiinvjib,positive
60,60,2021-04-22 05:14:54,1385099771220688906,powerwall  peak amp steady power capability better advertised lots operational data httpstcoqbdztdgiaf,positive
61,61,2021-04-22 01:51:09,1385048499415183360,solar power feed exclusively powerwall powerwall interface utility meter amp house main br httpstcoaygudv,positive
62,62,2021-04-22 01:27:43,1385042598692147204,starting next week tesla solar panels amp solar roof sold integrated product with tesla powerwall battery,neutral
63,63,2021-04-21 23:23:05,1385011236270526464,wintonark buy powerwall utility permission required flowing electricity back grid usuall httpstcoccvgyh,neutral
64,64,2021-04-21 15:30:27,1384892295137333252,teslany sandy munro knows hes talking,neutral
65,65,2021-04-21 15:24:07,1384890700085481473,rt commercial_crew launch update  nasa spacex targeting friday april   am et launch crew miss,neutral
66,66,2021-04-21 04:00:41,1384718706014441475,teslaownerssv cgi irl,neutral
67,67,2021-04-21 03:51:12,1384716322756386819,ppathole tesla spacex could get job internet company werent many back then,positive
68,68,2021-04-20 19:32:21,1384590783504818178,liv_boeree thebabylonbee haha true,positive
69,69,2021-04-20 19:28:16,1384589753236922374,johnnacrider,neutral
70,70,2021-04-20 19:27:43,1384589614447423493,kimpaquette new fsd rendering approach coming better represents nn probability vector space,positive
71,71,2021-04-20 18:49:56,1384580105649885188,kimpaquette nhtsa great,positive
72,72,2021-04-20 18:47:01,1384579374607831042,renatakonkoly gerberkawasaki hell coincidence haha,positive
73,73,2021-04-20 18:37:14,1384576909724459009,gerberkawasaki,neutral
74,74,2021-04-20 16:51:05,1384550197410164738,rt spacex falcon  dragon looking good flight crew astronauts teams keeping eye launch site downrange wea,positive
75,75,2021-04-20 03:20:24,1384346182399401991,wholemarsblog exactly,positive
76,76,2021-04-20 03:19:31,1384345960495468548,nasa awesome,positive
77,77,2021-04-19 21:14:52,1384254194975010826,amart wsj research private individual better professionals wsj data logs recovered httpstcoatlnptldln,positive
78,78,2021-04-19 02:10:00,1383966077344894979,teslaownerssv spacex nasa considercosmos support humanitys future space super appreciated lets mak httpstcorzwjjoyc,positive
